AI #1,AI #2
3.22782636,2.52593923
3.19985819,2.54018331
3.185592,2.56146216
3.15478325,2.583601
3.12030935,2.60465527
3.071413,2.62474513
3.0031774,2.63964677
2.92042351,2.67755842
2.83699036,2.65925455
2.72775865,2.65941882
2.66219115,2.67673659
2.527391,2.6940763
2.411218,2.70076013
2.28334832,2.69355583
2.19558167,2.6736412
2.11385274,2.64318037
2.032496,2.62273455
1.969016,2.59877658
1.91787362,2.57780743
1.87155247,2.55607128
1.81663,2.53265047
1.77282894,2.53308868
1.73776615,2.505833
1.73160279,2.48120666
1.70544267,2.42970824
1.69640315,2.44422626
1.71125,2.43861079
1.74773717,2.43381715
1.77143192,2.431023
1.80430317,2.43902159
1.84141493,2.44634652
1.88796079,2.456471
1.9501698,2.47055078
2.022514,2.49021888
2.09551048,2.49670553
2.16855049,2.51015
2.2565856,2.51509166
2.33215141,2.502721
2.43260622,2.4898026
2.52300262,2.44887757
2.6611228,2.4766047
2.72249913,2.45804882
2.79751182,2.4526906
2.86881542,2.45485473
2.93172574,2.461566
2.98731136,2.47586513
3.041878,2.49253082
3.09998369,2.504518
3.14677072,2.511662
3.17882037,2.51068139
3.19284558,2.517009
3.21399283,2.523556
3.206827,2.51974845
3.23608255,2.5211947
3.242509,2.5306232
3.21100163,2.53782773
3.17441559,2.55584121
3.15808415,2.577328
3.10932469,2.605844
3.05768919,2.625627
2.99720573,2.63917017
2.92899752,2.644857
2.84380555,2.65126133
2.758929,2.67128563
2.67861581,2.65830135
2.59568119,2.69508982
2.4770155,2.71986938
2.371137,2.69919324
2.26838088,2.66766977
2.18766522,2.6679163
2.11109138,2.63778949
2.03318167,2.61664844
1.955347,2.597859
1.91951728,2.57713628
1.86679161,2.555118
